number,value,params_C,params_l1_ratio,params_penalty,params_solver,state
0,0.6233822529788946,0.0060252157362038605,,l1,liblinear,COMPLETE
1,0.6214130746920458,70.72114131472235,,l1,liblinear,COMPLETE
2,0.588583541676855,0.4205156450913872,,l2,saga,COMPLETE
3,0.5885833610793201,0.004982752357076452,0.3129301836816963,elasticnet,,COMPLETE
4,0.5885835807437022,0.009962513222055111,0.5128109945722504,elasticnet,,COMPLETE
5,0.5885838223610512,0.007122305833333868,0.10854643368675157,elasticnet,,COMPLETE
6,0.621559740785623,2.6373339933815254,,l1,liblinear,COMPLETE
7,0.5885882395225867,0.0014857392806279248,0.8683883618709038,elasticnet,,COMPLETE
8,0.5885845193348302,0.008399864445957504,,l1,saga,COMPLETE
9,0.621464286932733,40.679084943595456,,l2,liblinear,COMPLETE
10,0.622998995099317,0.06976600642206403,,l1,liblinear,COMPLETE
11,0.6224595735432844,0.08890932607817019,,l1,liblinear,COMPLETE
12,0.6224352458600538,0.08850644495069121,,l1,liblinear,COMPLETE
13,0.6230603865144542,0.06031927551809141,,l1,liblinear,COMPLETE
14,0.6216551762066579,1.0498871118703967,,l1,liblinear,COMPLETE
15,0.5885915341120822,0.0012538561014076137,,l1,saga,COMPLETE
16,0.6214015264494747,0.030984282265824684,,l2,liblinear,COMPLETE
17,0.6214226069610055,8.859012849344984,,l1,liblinear,COMPLETE
18,0.5885832289981235,0.028872728804976756,,l1,saga,COMPLETE
19,0.6218385219543207,0.3757094079118063,,l2,liblinear,COMPLETE
20,0.6240555888917036,0.030007099746034813,,l1,liblinear,COMPLETE
21,0.6240695840440184,0.030963207935794025,,l1,liblinear,COMPLETE
22,0.6245661470521116,0.003068255477607128,,l1,liblinear,COMPLETE
23,0.6242255855976054,0.022746358423146828,,l1,liblinear,COMPLETE
24,0.6238368781914069,0.002612118056293128,,l1,liblinear,COMPLETE
25,0.6220914021213994,0.18674887582206665,,l1,liblinear,COMPLETE
26,0.6235451847759085,0.0158243576318144,,l1,liblinear,COMPLETE
27,0.588585334940559,0.0027231070282602563,,l1,saga,COMPLETE
28,0.6211324347216491,0.017087851456500876,,l2,liblinear,COMPLETE
29,0.5885850097196379,0.003211082890744479,0.9021244337722072,elasticnet,,COMPLETE
30,0.6220776544754351,0.239482401425282,,l1,liblinear,COMPLETE
31,0.6241606977350237,0.033293288461621544,,l1,liblinear,COMPLETE
32,0.6234655624975654,0.016750982178522927,,l1,liblinear,COMPLETE
33,0.623616549750754,0.04565698533139225,,l1,liblinear,COMPLETE
34,0.622163450937043,0.17806435066885404,,l1,liblinear,COMPLETE
35,0.6225755082086923,0.0050540868352852,,l1,liblinear,COMPLETE
36,0.5885834667120863,0.01158252711486124,0.6173111178373989,elasticnet,,COMPLETE
37,0.6218214335982597,0.544184080116173,,l1,liblinear,COMPLETE
38,0.621204769470045,0.0010550032456291367,,l2,liblinear,COMPLETE
39,0.5885835602983707,0.0051675794220422495,0.08902138633102263,elasticnet,,COMPLETE
40,0.5885846875898448,0.007766687609544139,,l1,saga,COMPLETE
41,0.6239426838366436,0.03179390223870078,,l1,liblinear,COMPLETE
42,0.6224081446803366,0.12427905685810743,,l1,liblinear,COMPLETE
43,0.6239365799191391,0.034172446073753276,,l1,liblinear,COMPLETE
44,0.624371771071765,0.0207362143519785,,l1,liblinear,COMPLETE
45,0.6232449942405861,0.0021435952106153423,,l1,liblinear,COMPLETE
46,0.6229040655957011,0.011765275031734017,,l1,liblinear,COMPLETE
47,0.5885836989662424,0.1182747438492683,0.6773977514860847,elasticnet,,COMPLETE
48,0.5885841878217024,0.0196758686249932,,l1,saga,COMPLETE
49,0.6231861851710695,0.054248450629572446,,l1,liblinear,COMPLETE
